,,,,,,Daily Price Report-01-01-2026 to 03-09-2026 for Maharashtra,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,650.00","7,700.00","7,550.00",Rs./Quintal,09-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,500.00","8,150.00",Rs./Quintal,08-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,500.00","7,700.00","7,550.00",Rs./Quintal,08-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,500.00","8,050.00",Rs./Quintal,07-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,500.00","7,700.00","7,550.00",Rs./Quintal,07-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,400.00","8,150.00",Rs./Quintal,06-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,500.00","7,700.00","7,550.00",Rs./Quintal,06-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,200.00","7,950.00",Rs./Quintal,01-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,550.00","7,700.00","7,450.00",Rs./Quintal,01-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,750.00","8,100.00","7,850.00",Rs./Quintal,30-03-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,450.00","7,700.00","7,450.00",Rs./Quintal,30-03-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,000.00","7,900.00",Rs./Quintal,27-03-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,850.00","7,700.00","7,550.00",Rs./Quintal,27-03-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","7,900.00","7,850.00",Rs./Quintal,25-03-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,600.00","7,700.00","7,550.00",Rs./Quintal,25-03-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,800.00","7,800.00","7,800.00",Rs./Quintal,23-03-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,500.00","7,700.00","7,350.00",Rs./Quintal,23-03-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","7,750.00","7,730.00",Rs./Quintal,16-03-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,500.00","7,700.00","7,250.00",Rs./Quintal,16-03-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,010.00","7,950.00",Rs./Quintal,11-03-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,700.00","7,700.00","7,350.00",Rs./Quintal,11-03-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,010.00","7,950.00",Rs./Quintal,10-03-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,700.00","7,700.00","7,450.00",Rs./Quintal,10-03-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,010.00","7,850.00",Rs./Quintal,05-03-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,500.00","7,700.00","7,450.00",Rs./Quintal,05-03-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,010.00","7,850.00",Rs./Quintal,27-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,525.00","7,650.00","7,250.00",Rs./Quintal,27-02-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,010.00","7,850.00",Rs./Quintal,26-02-2026
